CMN203_CO002,2,Analyze media content,25,50,PLO053,CMN203
CMN203_CO003,3,Apply media theories,50,33.33,PLO028,CMN203
ENG201_CO001,1,Analyze literary genres,33.33,20,PLO030,ENG201
ENG201_CO002,2,Interpret literary texts,33.33,25,PLO031,ENG201
ENG201_CO003,3,Analyze literary techniques,33.33,20,PLO030,ENG201
ENG202_CO001,1,Understand English history,25,25,PLO031,ENG202
ENG202_CO002,2,Analyze historical events,25,20,PLO030,ENG202
ENG202_CO003,3,Apply historical perspectives,50,25,PLO031,ENG202
ENG203_CO001,1,Understand poetic forms,33.33,20,PLO030,ENG203
ENG203_CO002,2,Interpret poetic texts,33.33,25,PLO031,ENG203
ENG203_CO003,3,Analyze poetic techniques,33.33,20,PLO030,ENG203
ENV201_CO001,1,Analyze chemical properties of the environment,25,25,PLO032,ENV201
ENV201_CO002,2,Analyze environmental pollutants,25,20,PLO033,ENV201
ENV201_CO003,3,Apply environmental chemistry concepts,50,25,PLO032,ENV201
ENV202_CO001,1,Analyze population dynamics,33.33,20,PLO033,ENV202
ENV202_CO002,2,Analyze environmental impact of population,33.33,25,PLO032,ENV202
ENV202_CO003,3,Apply population and environment concepts,33.33,20,PLO033,ENV202
POP201_CO001,1,Analyze ecosystems,25,25,PLO032,POP201
POP201_CO002,2,Analyze biodiversity,25,20,PLO033,POP201
POP201_CO003,3,Apply conservation strategies,50,20,PLO033,POP201
MIS401_CO001,1,Design databases,33.33,50,PLO034,MIS401
MIS401_CO002,2,Implement database management systems,33.33,50,PLO035,MIS401
MIS401_CO003,3,Optimize database performance,33.33,50,PLO036,MIS401
MIS405_CO001,1,Analyze system requirements,25,33.33,PLO037,MIS405
MIS405_CO002,2,Design system architecture,25,50,PLO034,MIS405
MIS405_CO003,3,Develop software applications,50,50,PLO035,MIS405
MIS430_CO001,1,Understand networking technologies,33.33,50,PLO036,MIS430
MIS430_CO002,2,Analyze network protocols,33.33,33.33,PLO037,MIS430
MIS430_CO003,3,Implement network security measures,33.33,33.33,PLO037,MIS430
MKT302_CO001,1,Understand marketing strategies,25,33.33,PLO038,MKT302
MKT302_CO002,2,Develop marketing plans,25,50,PLO039,MKT302
MKT302_CO003,3,Analyze marketing metrics,50,50,PLO040,MKT302
MKT340_CO001,1,Understand advertising techniques,33.33,50,PLO041,MKT340
MKT340_CO002,2,Develop advertising campaigns,33.33,33.33,PLO038,MKT340
MKT340_CO003,3,Analyze advertising metrics,33.33,50,PLO039,MKT340
MKT350_CO001,1,Understand services marketing strategies,25,50,PLO040,MKT350
MKT350_CO002,2,Develop services marketing plans,25,50,PLO041,MKT350
MKT350_CO003,3,Analyze services marketing metrics,50,33.33,PLO038,MKT350
PHA101_CO001,1,Understand the basics of pharmacy practice,33.33,50,PLO042,PHA101
PHA101_CO002,2,Analyze drug classifications,33.33,50,PLO043,PHA101
PHA101_CO003,3,Apply pharmaceutical calculations,33.33,50,PLO044,PHA101
PHA102_CO001,1,Understand natural sources of drugs,25,33.33,PLO045,PHA102
PHA102_CO002,2,Analyze phytochemical properties,25,50,PLO042,PHA102
PHA102_CO003,3,Apply nutraceutical concepts,50,50,PLO043,PHA102
PHA102L_CO001,1,Use laboratory equipment,33.33,50,PLO044,PHA102L
PHA102L_CO002,2,Conduct experiments accurately,33.33,33.33,PLO045,PHA102L
PHA102L_CO003,3,Identify natural sources of drugs,33.33,33.33,PLO045,PHA102L
PHY201_CO001,1,Understand modern physics theories,25,14.3,PLO046,PHY201
PHY201_CO002,2,Analyze physical phenomena,25,14.3,PLO047,PHY201
PHY201_CO003,3,Apply modern physics concepts,50,14.3,PLO048,PHY201
PHY202_CO001,1,Understand atomic and molecular structures,33.33,16.7,PLO049,PHY202
PHY202_CO002,2,Analyze laser principles,33.33,14.3,PLO046,PHY202
PHY202_CO003,3,Apply laser applications,33.33,14.3,PLO047,PHY202
PHY203_CO001,1,Understand solid state structures,25,14.3,PLO048,PHY203
PHY203_CO002,2,Analyze crystal structures,25,16.7,PLO049,PHY203
PHY203_CO003,3,Apply solid state physics concepts,50,14.3,PLO046,PHY203
PHY101_CO001,1,Understand mechanics,25,14.3,PLO047,PHY101
PHY101_CO002,2,Analyze kinematics,25,14.3,PLO048,PHY101
PHY101_CO003,3,Apply laws of motion,50,16.7,PLO049,PHY101
PHY101L_CO001,1,Use laboratory equipment,33.33,14.3,PLO046,PHY101L
PHY101L_CO002,2,Conduct experiments accurately,33.33,14.3,PLO047,PHY101L
PHY101L_CO003,3,Analyze experimental results,33.33,14.3,PLO048,PHY101L
PHY102_CO001,1,Understand electromagnetism,25,16.7,PLO049,PHY102
PHY102_CO002,2,Analyze electric and magnetic fields,25,14.3,PLO046,PHY102
PHY102_CO003,3,Apply electromagnetic principles,50,14.3,PLO047,PHY102
PHY102L_CO001,1,Use laboratory equipment,33.33,14.3,PLO048,PHY102L
PHY102L_CO002,2,Conduct experiments accurately,33.33,16.7,PLO049,PHY102L
PHY102L_CO003,3,Analyze experimental results,33.33,14.3,PLO046,PHY102L
PHY443_CO001,1,Understand black hole properties,25,14.3,PLO047,PHY443
PHY443_CO002,2,Analyze gravitational effects,25,14.3,PLO048,PHY443
PHY443_CO003,3,Apply black hole physics concepts,50,16.7,PLO049,PHY443
PHY444_CO001,1,Understand many-body systems,33.33,14.3,PLO046,PHY444
PHY444_CO002,2,Analyze quantum mechanics,33.33,14.3,PLO047,PHY444
PHY444_CO003,3,Apply many-body physics concepts,33.33,14.3,PLO048,PHY444
